ship_id,ship_name,ship_type_id,ship_type_name,datetime,lat,lon,port_reported,super_unique_id,haversine_dist,obs,tot,id_check
350706,NATALIJA GONCHAROVA,8,Tanker,2016-12-17T17:01:03Z,54.68639,20.25204,kalingrad,"350706,NATALIJA GONCHAROVA,8,Tanker",0,2693,2932.60725179492,"350706,NATALIJA GONCHAROVA,8,Tankeryes"
350706,NATALIJA GONCHAROVA,8,Tanker,2016-12-17T17:03:02Z,54.68644,20.25201,kalingrad,"350706,NATALIJA GONCHAROVA,8,Tanker",5.89124031032864,2694,2932.60725179492,"350706,NATALIJA GONCHAROVA,8,Tankeryes"
350858,SORMOVSKIY 3064,7,Cargo,2016-12-16T21:49:04Z,54.68362,20.32903,kalingrad,"350858,SORMOVSKIY 3064,7,Cargo",0,812,50668.6293031165,"350858,SORMOVSKIY 3064,7,Cargoyes"
350858,SORMOVSKIY 3064,7,Cargo,2016-12-16T21:51:03Z,54.6857,20.2302,kalingrad,"350858,SORMOVSKIY 3064,7,Cargo",6364.03604340431,813,50668.6293031165,"350858,SORMOVSKIY 3064,7,Cargoyes"
350926,IVAN SHCHEPETOV,7,Cargo,2016-12-14T02:47:02Z,54.6701,20.14155,kalingrad,"350926,IVAN SHCHEPETOV,7,Cargo",5667.01685866859,14,142054.007855603,"350926,IVAN SHCHEPETOV,7,Cargoyes"
350926,IVAN SHCHEPETOV,7,Cargo,2016-12-14T18:27:03Z,54.70267,20.45184,kalingrad,"350926,IVAN SHCHEPETOV,7,Cargo",20293.1652999147,15,142054.007855603,"350926,IVAN SHCHEPETOV,7,Cargoyes"
351018,SEDOV,9,Pleasure,2016-12-20T05:33:03Z,54.678,20.1488,kalingrad,"351018,SEDOV,9,Pleasure",0,1092,702.459965385577,"351018,SEDOV,9,Pleasureyes"
351018,SEDOV,9,Pleasure,2016-12-20T05:55:02Z,54.67809,20.14883,kalingrad,"351018,SEDOV,9,Pleasure",10.2031177613578,1093,702.459965385577,"351018,SEDOV,9,Pleasureyes"
351093,KAPITAN EDEMSKIY,2,Fishing,2016-12-14T13:09:03Z,54.70433,20.48367,kalingrad,"351093,KAPITAN EDEMSKIY,2,Fishing",0,25,0,"351093,KAPITAN EDEMSKIY,2,Fishingyes"
351093,KAPITAN EDEMSKIY,2,Fishing,2016-12-14T13:13:03Z,54.70433,20.48367,kalingrad,"351093,KAPITAN EDEMSKIY,2,Fishing",0,26,0,"351093,KAPITAN EDEMSKIY,2,Fishingyes"
351107,RB-394,3,Tug,2016-12-15T12:59:02Z,54.63343,19.92976,kalingrad,"351107,RB-394,3,Tug",269.803964806749,9,22287.4755928311,"351107,RB-394,3,Tugyes"
351107,RB-394,3,Tug,2016-12-15T13:37:03Z,54.64704,19.90765,kalingrad,"351107,RB-394,3,Tug",2079.47208589458,10,22287.4755928311,"351107,RB-394,3,Tugyes"
351119,RB-395,3,Tug,2016-12-16T09:31:02Z,54.65401,19.85177,kalingrad,"351119,RB-395,3,Tug",0,105,37567.8345815544,"351119,RB-395,3,Tugyes"
351119,RB-395,3,Tug,2016-12-16T09:33:03Z,54.63713,19.89149,kalingrad,"351119,RB-395,3,Tug",3174.39387030884,106,37567.8345815544,"351119,RB-395,3,Tugyes"
365478,FEHN LIGHT,7,Cargo,2016-12-16T17:53:03Z,54.68486,20.17102,kalingrad,"365478,FEHN LIGHT,7,Cargo",218.602570081669,64,91290.6087388776,"365478,FEHN LIGHT,7,Cargoyes"
365478,FEHN LIGHT,7,Cargo,2016-12-16T18:11:02Z,54.68565,20.22589,kalingrad,"365478,FEHN LIGHT,7,Cargo",3531.99011185848,65,91290.6087388776,"365478,FEHN LIGHT,7,Cargoyes"
365628,NBP CARRIER,7,Cargo,2016-12-15T23:41:03Z,54.63794,19.88478,kalingrad,"365628,NBP CARRIER,7,Cargo",0,42,25707.2090935102,"365628,NBP CARRIER,7,Cargoyes"
365628,NBP CARRIER,7,Cargo,2016-12-15T23:43:03Z,54.65233,19.85667,kalingrad,"365628,NBP CARRIER,7,Cargo",2417.55548819845,43,25707.2090935102,"365628,NBP CARRIER,7,Cargoyes"
461192,KOZNITZA,7,Cargo,2016-12-20T09:11:03Z,54.63397,19.93747,kalingrad,"461192,KOZNITZA,7,Cargo",323.646603459187,31,29447.0028473575,"461192,KOZNITZA,7,Cargoyes"
461192,KOZNITZA,7,Cargo,2016-12-20T09:31:03Z,54.6377,19.98747,kalingrad,"461192,KOZNITZA,7,Cargo",3248.07546359197,32,29447.0028473575,"461192,KOZNITZA,7,Cargoyes"
727807,STRATEGIC ENCOUNTER,7,Cargo,2016-12-16T09:45:03Z,54.63309,19.89434,kalingrad,"727807,STRATEGIC ENCOUNTER,7,Cargo",0,56,37586.1026254988,"727807,STRATEGIC ENCOUNTER,7,Cargoyes"
727807,STRATEGIC ENCOUNTER,7,Cargo,2016-12-16T09:47:02Z,54.64101,20.02567,kalingrad,"727807,STRATEGIC ENCOUNTER,7,Cargo",8506.95342528544,57,37586.1026254988,"727807,STRATEGIC ENCOUNTER,7,Cargoyes"
754816,ERRIE,3,Tug,2016-12-18T04:17:02Z,55.00977,20.00268,kalingrad,"754816,ERRIE,3,Tug",0,47,51515.4427091537,"754816,ERRIE,3,Tugyes"
754816,ERRIE,3,Tug,2016-12-18T04:19:03Z,55.01091,20.17979,kalingrad,"754816,ERRIE,3,Tug",11306.3098739253,48,51515.4427091537,"754816,ERRIE,3,Tugyes"
754855,AMERDIJK,7,Cargo,2016-12-13T18:37:03Z,54.63272,19.89502,kalingrad,"754855,AMERDIJK,7,Cargo",0,214,9061.88849316509,"754855,AMERDIJK,7,Cargoyes"
754855,AMERDIJK,7,Cargo,2016-12-13T18:39:03Z,54.655,19.8496,kalingrad,"754855,AMERDIJK,7,Cargo",3835.55578833081,215,9061.88849316509,"754855,AMERDIJK,7,Cargoyes"
755306,AKERDIJK,7,Cargo,2016-12-20T11:01:03Z,54.65897,19.83891,kalingrad,"755306,AKERDIJK,7,Cargo",451.905677407548,5,5235.52496503473,"755306,AKERDIJK,7,Cargoyes"
755306,AKERDIJK,7,Cargo,2016-12-20T11:07:04Z,54.65045,19.86151,kalingrad,"755306,AKERDIJK,7,Cargo",1737.16911465824,6,5235.52496503473,"755306,AKERDIJK,7,Cargoyes"
756252,OLGA,7,Cargo,2016-12-17T01:07:03Z,54.64677,20.06415,kalingrad,"756252,OLGA,7,Cargo",0,47,27414.7772943053,"756252,OLGA,7,Cargoyes"
756252,OLGA,7,Cargo,2016-12-17T01:09:02Z,54.63303,19.92508,kalingrad,"756252,OLGA,7,Cargo",9088.80157545195,48,27414.7772943053,"756252,OLGA,7,Cargoyes"
878185,OLEG STRASHNOV,3,Tug,2016-12-17T13:09:03Z,54.69018,20.1966,kalingrad,"878185,OLEG STRASHNOV,3,Tug",201.085936614506,1075,15775.9849032933,"878185,OLEG STRASHNOV,3,Tugyes"
878185,OLEG STRASHNOV,3,Tug,2016-12-17T13:13:02Z,54.68774,20.21223,kalingrad,"878185,OLEG STRASHNOV,3,Tug",1041.73565030928,1076,15775.9849032933,"878185,OLEG STRASHNOV,3,Tugyes"
1064825,KAPITAN BELYAEV,0,Unspecified,2016-12-15T22:41:02Z,54.97714,20.34083,kalingrad,"1064825,KAPITAN BELYAEV,0,Unspecified",0,214,41367.9536930766,"1064825,KAPITAN BELYAEV,0,Unspecifiedyes"
1064825,KAPITAN BELYAEV,0,Unspecified,2016-12-17T07:55:02Z,54.96532,20.23569,kalingrad,"1064825,KAPITAN BELYAEV,0,Unspecified",6845.67017812066,215,41367.9536930766,"1064825,KAPITAN BELYAEV,0,Unspecifiedyes"
1181634,BARRAKUDA,9,Pleasure,2016-12-17T02:43:02Z,54.96674,20.2634,kalingrad,"1181634,BARRAKUDA,9,Pleasure",0,319,6565.77207513442,"1181634,BARRAKUDA,9,Pleasureyes"
1181634,BARRAKUDA,9,Pleasure,2016-12-17T08:51:02Z,54.95827,20.36507,kalingrad,"1181634,BARRAKUDA,9,Pleasure",6565.77207513442,320,6565.77207513442,"1181634,BARRAKUDA,9,Pleasureyes"
1247749,ACQUAMARINA,8,Tanker,2016-12-16T22:23:05Z,55.73,20.80467,klaipeda,"1247749,ACQUAMARINA,8,Tanker",442.157614922947,1121,266643.052369226,"1247749,ACQUAMARINA,8,Tankeryes"
1247749,ACQUAMARINA,8,Tanker,2016-12-17T11:37:03Z,54.66344,19.80109,kalingrad,"1247749,ACQUAMARINA,8,Tanker",134764.673025411,1122,266643.052369226,"1247749,ACQUAMARINA,8,Tankeryes"
1414412,RB-413,3,Tug,2016-12-15T08:35:02Z,54.63433,19.94286,kalingrad,"1414412,RB-413,3,Tug",0,478,31004.2551909804,"1414412,RB-413,3,Tugyes"
1414412,RB-413,3,Tug,2016-12-15T12:29:03Z,54.64635,19.90563,kalingrad,"1414412,RB-413,3,Tug",2746.40971111965,479,31004.2551909804,"1414412,RB-413,3,Tugyes"
2059154,MIDVOLGA-3,8,Tanker,2016-12-19T07:53:02Z,54.6349,19.80475,kalingrad,"2059154,MIDVOLGA-3,8,Tanker",0,1526,149279.815872092,"2059154,MIDVOLGA-3,8,Tankeryes"
2059154,MIDVOLGA-3,8,Tanker,2016-12-19T07:55:03Z,54.63269,19.9117,kalingrad,"2059154,MIDVOLGA-3,8,Tanker",6895.36540900195,1527,149279.815872092,"2059154,MIDVOLGA-3,8,Tankeryes"
3110501,JOKER,9,Pleasure,2016-12-15T10:33:02Z,54.69193,20.24598,kalingrad,"3110501,JOKER,9,Pleasure",0,64,95.1817203438616,"3110501,JOKER,9,Pleasureyes"
3110501,JOKER,9,Pleasure,2016-12-15T10:35:03Z,54.69189,20.24599,kalingrad,"3110501,JOKER,9,Pleasure",4.49902271893384,65,95.1817203438616,"3110501,JOKER,9,Pleasureyes"
3532420,NADEZHDA,3,Tug,2016-12-19T09:53:02Z,54.68936,20.36606,kalingrad,"3532420,NADEZHDA,3,Tug",0,2460,3461.47883411374,"3532420,NADEZHDA,3,Tugyes"
3532420,NADEZHDA,3,Tug,2016-12-19T09:57:03Z,54.6896,20.38051,kalingrad,"3532420,NADEZHDA,3,Tug",930.147296197195,2461,3461.47883411374,"3532420,NADEZHDA,3,Tugyes"
3586959,GLADIATOR,3,Tug,2016-12-17T10:41:03Z,54.68574,20.24949,kalingrad,"3586959,GLADIATOR,3,Tug",0,134,90440.573184614,"3586959,GLADIATOR,3,Tugyes"
3586959,GLADIATOR,3,Tug,2016-12-17T10:47:02Z,54.68363,20.31729,kalingrad,"3586959,GLADIATOR,3,Tug",4369.32228693517,135,90440.573184614,"3586959,GLADIATOR,3,Tugyes"
3610791,AFRICAN GROUSE,7,Cargo,2016-12-16T19:15:03Z,55.11497,19.95943,kalingrad,"3610791,AFRICAN GROUSE,7,Cargo",0,2106,224701.217258264,"3610791,AFRICAN GROUSE,7,Cargoyes"
3610791,AFRICAN GROUSE,7,Cargo,2016-12-17T02:35:06Z,55.73736,20.80092,klaipeda,"3610791,AFRICAN GROUSE,7,Cargo",87325.4411972054,2107,224701.217258264,"3610791,AFRICAN GROUSE,7,Cargoyes"
